115594,1524028
115901,1525593
116184,1526714
116471,1527525
116742,1529011
116988,1531086
117260,1533214
117491,1534565
117753,1536725
118025,1538115
118339,1539256
118616,1541150
118912,1542454
119195,1543628
119475,1544919
119706,1546179
119991,1547139
120267,1548590
120509,1550946
120774,1553618
121062,1555088
121312,1556254
121545,1558926
121835,1559892
122127,1560970
122368,1564123
122622,1566837
122881,1568367
123159,1569654
123457,1570609
123724,1571723
124024,1572723
124293,1574163
124608,1574939
124874,1576764
125106,1580640
125367,1583175
125651,1584522
125960,1586051
126273,1587717
126531,1589235
126814,1591739
127144,1592885
127368,1594150
127626,1595364
127928,1596623
128219,1597784
128453,1599029
128708,1600418
129008,1601183
129307,1601810
129529,1603053
129731,1605508
129997,1607193
130308,1607967
130517,1609767
130753,1611898
130985,1613168
131223,1613861
131403,1614779
131546,1615619
131704,1616355
131867,1617175
132032,1618168
132188,1619192
132305,1620362
132352,1624245
132451,1626375
132603,1628047
132784,1628685
132971,1629573
133191,1630396
133396,1631108
133620,1631929
133844,1632550
134129,1633052
134356,1633752
134613,1634391
134838,1635139
135009,1635911
135208,1636673
135415,1637924
135614,1638963
135853,1639982
136079,1640871
136303,1641794
136530,1642438
136731,1643374
136940,1644039
137148,1644978
137317,1645650
137524,1646439
137728,1647997
137950,1648384
138163,1649000
138386,1650008
138564,1650913
138773,1651737
139002,1652217
139205,1652839
139386,1653719
139573,1654546
139772,1655543
139976,1656327
140194,1656997
140385,1657646
140615,1658092
140816,1659072
141024,1659719
141222,1660312
141408,1661028
141606,1661499
141797,1662194
141966,1662908
142146,1663425
142341,1664155
142544,1664916
142730,1665451
142882,1665922
143057,1666567
143253,1667298
143408,1668112
143584,1668625
143781,1669370
143998,1669754
144188,1670637
144364,1671153
144500,1671649
144644,1672395
144783,1673002
144948,1673792
145138,1674907
145274,1676135
145412,1676750
145579,1677561
145747,1678457
145879,1679293
145969,1680102
146096,1681097
146252,1682055
146363,1683224
146460,1684521
146552,1685667
146685,1686649
146803,1688435
146961,1689952
147108,1690981
147284,1691816
147409,1692537
147541,1693095
147684,1693351
147836,1693818
148015,1694150
148177,1694499
148330,1694869
148469,1695542
148612,1696279
148763,1696860
148949,1697221
149106,1697693
149230,1698419
149367,1699302
149484,1700158
149605,1700991
149724,1701810
149858,1702823
149985,1703816
150132,1705094
150287,1706042
150429,1707331
150588,1708464
150760,1709476
150924,1710600
151057,1711611
151207,1712527
151344,1712869
151526,1713474
151709,1713995
151884,1714990
152046,1715754
152216,1716371
152391,1716954
152558,1717741
152708,1718378
152823,1719933
152984,1721431
153123,1722567
153264,1723567
153440,1724863
153642,1726440
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153788,1727596
153964,1728694
154230,1729990
154518,1730801
154745,1731266
155038,1731650
155300,1732582
155586,1733342
155911,1733859
156175,1734703
156464,1735227
156775,1735951
157040,1736508
157292,1737200
157558,1737890
157799,1738670
157980,1739792
158180,1740941
158438,1741644
158721,1742207
159005,1742955
159249,1743852
159508,1744792
159791,1745436
160091,1746157
160319,1747256
160512,1748772
160769,1749447
161058,1750356
161259,1751580
161464,1753022
161740,1753823
162000,1754900
162216,1755998
162446,1756914
162689,1757904
162941,1759345
163202,1760487
163459,1761290
163745,1762843
164041,1763964
164339,1765143
164653,1765991
164866,1767643
165089,1769195
165366,1770245
165649,1770909
165939,1771406
166240,1771997
166533,1772593
166830,1773312
167116,1773924
167308,1775700
167533,1777190
167829,1777663
168119,1778325
168402,1778886
168691,1779580
168957,1780258
169235,1780949
